,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2015-09-01,64.58,66.84,64.05,64.83,64.83,23458737,0.0000,1.0,72.7120,71.8366,30.6842,35.1652,61.1721,-0.4303,-3.5346,-3.1043,32.3128,-121.4722,70.0000,20.0000,72.7120,82.2011,63.2229,-375354916.3991,127789698.0000
2015-08-31,69.12,69.3,66.02,66.12,66.12,18456401,0.0000,1.0,73.4140,72.5741,32.1222,63.2107,75.5099,-0.3311,-3.3279,-2.9968,31.3123,-104.6106,75.0000,25.0000,73.4140,82.5371,64.2909,-365012892.5604,151248435.0000
2015-08-28,69.67,70.5,69.045,70.07,70.07,10604358,0.0000,1.0,74.0075,73.2535,37.1923,85.1403,75.0607,-0.2330,-3.1470,-2.9140,30.4075,-70.8554,80.0000,30.0000,74.0075,82.6890,65.3260,-347681881.8652,169704836.0000
2015-08-27,70.8,71.59,70.02,70.84,70.84,18121569,0.0000,1.0,74.4210,73.5886,38.3121,78.1788,59.2878,-0.4168,-3.2725,-2.8557,29.7048,-62.8412,85.0000,35.0000,74.4210,83.1008,65.7412,-352018371.9065,180309194.0000
2015-08-26,68.95,69.45,65.75,68.66,68.66,26341784,0.0000,1.0,74.8770,73.8780,32.8762,61.8631,38.8777,-0.7120,-3.4635,-2.7516,29.0512,-120.3752,90.0000,0.0000,74.8770,83.7132,66.0408,-352826339.9511,162187625.0000
2015-08-25,68.84,70.33,67.49,68.57,68.57,29926192,0.0000,1.0,75.4570,74.4272,32.6434,37.8216,19.7255,-0.8615,-3.4350,-2.5736,27.8809,-119.5676,95.0000,5.0000,75.4570,84.1055,66.8085,-367919470.2429,135845841.0000
2015-08-24,58.16,67.48,58.0,65.8,65.8,31368489,0.0000,1.0,76.0565,75.0438,25.0424,16.9485,14.1427,-0.9813,-3.3395,-2.3582,26.7833,-229.0207,100.0000,0.0000,76.0565,84.3680,67.7450,-360754043.9894,105919649.0000
2015-08-21,69.32,70.66,68.18,68.18,68.18,29118492,0.0000,1.0,76.8365,76.0168,27.5831,4.4065,20.0804,-0.7740,-2.8869,-2.1129,24.9327,-173.9750,100.0000,0.0000,76.8365,84.0003,69.6727,-381004587.5211,137288138.0000
2015-08-20,71.98,72.78,70.03,70.32,70.32,20995615,0.0000,1.0,77.5785,76.8417,30.2004,21.0732,33.4812,-0.5902,-2.5096,-1.9194,23.8488,-160.1850,100.0000,5.0000,77.5785,84.0420,71.1150,-351886095.5211,166406630.0000
2015-08-19,73.15,73.56,72.81,73.12,73.12,18174057,0.0000,1.0,78.2565,77.5282,34.2386,34.7617,40.3225,-0.4375,-2.2094,-1.7718,22.9385,-133.2677,75.0000,10.0000,78.2565,84.3674,72.1456,-335318646.5938,187402245.0000
