,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-08-07,129.16,129.97,127.9,129.05,87.8810140696,6633500,0.0000,1.0,86.4550,86.3943,57.0977,83.2159,66.3921,0.0534,0.8742,0.8208,12.2537,79.2312,50.0000,15.0000,86.4550,83.0477,89.8624,4766444.9124,228633600.0000
2008-08-06,128.45,129.5,127.75,129.16,87.9559223342,6253800,0.5000,1.0,86.2390,86.2378,57.3438,70.6082,50.2660,0.0412,0.8486,0.8075,12.0826,75.9900,55.0000,20.0000,86.2390,82.6763,89.8017,4029389.3571,235267100.0000
2008-08-05,127.56,128.9,127.08,128.87,87.4200193677,6969900,0.0000,1.0,85.9249,86.0569,56.0566,45.3522,40.1833,-0.0012,0.7960,0.7972,12.0281,49.7820,60.0000,25.0000,85.9249,81.9405,89.9094,205637.3575,229013300.0000
2008-08-04,126.77,128.1,126.25,127.56,86.5313701446,5994900,0.0000,1.0,85.7557,85.9134,53.8633,34.8376,40.3794,-0.0256,0.7719,0.7975,12.2763,27.9915,65.0000,0.0000,85.7557,81.7521,89.7592,-6534485.7202,222043400.0000
2008-08-01,128.52,129.3,126.28,126.64,85.907280614,4939700,0.0000,1.0,85.5501,85.8484,52.2741,40.3600,38.9058,0.0164,0.8203,0.8039,12.7733,35.5522,70.0000,0.0000,85.5501,81.3118,89.7885,-9029660.3146,216048500.0000
2008-07-31,128.1,129.5,127.74,127.98,86.8162805826,5857300,0.0000,1.0,85.3093,85.8422,54.8903,45.9405,33.1168,0.1340,0.9337,0.7998,13.2871,63.1504,75.0000,5.0000,85.3093,80.6528,89.9658,-5267637.1359,220988200.0000
2008-07-30,128.12,129.0,127.09,128.86,87.4132357858,5826100,0.0000,1.0,85.0081,85.7396,56.6595,30.4167,31.1618,0.2061,0.9724,0.7663,13.3582,67.4343,80.0000,0.0000,85.0081,80.0135,90.0028,-1007782.5912,226845500.0000
2008-07-29,126.54,128.168,126.25,127.66,86.5992059632,5979400,0.0000,1.0,84.6828,85.5635,54.7710,22.9933,43.7930,0.2320,0.9467,0.7147,13.5675,54.9168,85.0000,5.0000,84.6828,79.5128,89.8528,-5979794.6328,221019400.0000
2008-07-28,127.69,128.44,126.13,126.25,85.6427209216,6096800,0.0000,1.0,84.3732,85.4544,52.4587,40.0755,66.1647,0.3264,0.9832,0.6567,14.0170,53.3159,90.0000,10.0000,84.3732,78.9631,89.7833,-8791796.0930,215040000.0000
2008-07-25,129.0,129.9,128.0,128.53,87.1893775846,7565500,0.0000,1.0,84.1629,85.4346,56.9298,68.3101,83.2436,0.5376,1.1127,0.5751,14.4902,96.0478,95.0000,15.0000,84.1629,78.6407,89.6851,-3328429.8588,221136800.0000
